seed,path,class_name,y_true,width,height,tile_size,n_tiles,global_score,tile_mean_score,tile_max_score,tile_top2_mean_score,tile_std_score,tile_max_minus_global
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000000.png,AI-images,1,1122,1402,512,9,0.4692297577857971,0.14883016774223912,0.4407612085342407,0.3567284792661667,0.13101141933279442,-0.028468549251556396
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000001.png,AI-images,1,1024,1024,512,9,0.833594560623169,0.49061180071698296,0.9791812896728516,0.9248093366622925,0.34114649763111304,0.14558672904968262
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000002.png,AI-images,1,768,768,512,9,0.9840752482414246,0.9468927714559767,0.9749029278755188,0.9709492325782776,0.024564522206984157,-0.009172320365905762
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000003.png,AI-images,1,768,768,512,9,0.9732955098152161,0.8723471694522433,0.9206089377403259,0.91462442278862,0.03172224605352644,-0.05268657207489014
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000004.png,AI-images,1,768,768,512,9,0.5693156719207764,0.3586183538039525,0.5545673966407776,0.49405963718891144,0.10391181307655094,-0.01474827527999878
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000005.png,AI-images,1,768,768,512,9,0.864821195602417,0.7186384863323636,0.9418269991874695,0.9367377161979675,0.15066494612418252,0.07700580358505249
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000006.jpeg,AI-images,1,1024,559,512,9,0.4158347547054291,0.3083365576134788,0.5741769671440125,0.5199466645717621,0.1421018378319043,0.15834221243858337
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000007.png,AI-images,1,768,768,512,9,0.920573353767395,0.9452770617273119,0.9660083651542664,0.9648323953151703,0.017341856599940263,0.04543501138687134
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000008.png,AI-images,1,1024,1024,512,9,0.6873195171356201,0.6309793641169866,0.9818431735038757,0.977917343378067,0.28285666410685595,0.2945236563682556
7,C:\Users\arnav\Documents\Codex\2026-06-12\i-want-you-to-createa-project\ai-image-forensics-comparison\data\raw\ishu_ai_vs_real_2026_seed7_test\AI-images\000009.png,AI-images,1,1402,1122,512,9,0.7435646653175354,0.5542002204391692,0.9658700823783875,0.9199151396751404,0.3034005139532924,0.22230541706085205
