seed,path,class_name,y_true,encoder,pretrained,classifier,image_size,tile_size,width,height,n_tiles,global_score,tile_mean_score,tile_max_score,tile_top2_mean_score,tile_std_score,tile_max_minus_global
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000000.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1122,1402,9,0.08584269881248474,0.6206382521324687,0.9826183319091797,0.9634858071804047,0.36401781613321554,0.896775633096695
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000001.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,1024,9,0.9999996423721313,0.994877835114797,1.0,0.9999998807907104,0.01439164488132679,3.5762786865234375e-07
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000002.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.8261017203330994,0.8398391538196139,0.9085825085639954,0.9053293168544769,0.0632486417015916,0.082480788230896
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000003.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.9997796416282654,0.9997416337331136,0.9999947547912598,0.999987006187439,0.0002590730343078556,0.00021511316299438477
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000004.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.9999995231628418,0.9999997880723741,1.0,1.0,2.499151529750984e-07,4.76837158203125e-07
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000005.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.9963952898979187,0.9994149737887912,0.9999825954437256,0.9999621510505676,0.0010580919245086974,0.0035873055458068848
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000006.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,559,9,0.0009208280243910849,0.42939112731882134,0.9998205304145813,0.9996621310710907,0.4389623135676191,0.9988997023901902
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000007.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.9908173084259033,0.5923294065416687,0.9999825954437256,0.9999498724937439,0.4331282104653942,0.009165287017822266
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000008.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,1024,9,0.9959834814071655,0.9614687363306681,0.9999988079071045,0.9999986886978149,0.09831489863888386,0.004015326499938965
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000009.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1402,1122,9,0.9765649437904358,0.8913558084103796,0.9999942779541016,0.9999755620956421,0.2995269445143977,0.02342933416366577
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000010.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,1.0,0.9999842643737793,1.0,1.0,3.814353695603467e-05,0.0
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000011.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1402,1122,9,0.4802594780921936,0.6512728221714497,0.993777871131897,0.9907799661159515,0.36161273594681903,0.5135183930397034
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000012.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,696,740,9,0.9999983310699463,0.9999999735090468,1.0,1.0,4.9560035424417144e-08,1.6689300537109375e-06
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000013.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1536,1024,9,0.9999610185623169,0.999022901058197,0.9999998807907104,0.9999998211860657,0.0023695463882990723,3.886222839355469e-05
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000014.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,700,768,9,0.02381710149347782,0.1867055280147017,0.9212413430213928,0.7521278560161591,0.31677732325892566,0.897424241527915
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000015.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1366,724,9,0.9964841604232788,0.7350599964459738,0.979973316192627,0.9667748212814331,0.3404569023923183,-0.016510844230651855
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000016.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,1024,9,1.0,0.9999998675452338,1.0,1.0,2.2084622913642816e-07,0.0
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000017.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,665,756,9,9.214029432769166e-07,1.5533742220617973e-05,0.00011397677008062601,6.286929374255124e-05,3.496716577050695e-05,0.0001130553671373491
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000018.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,559,9,0.9940242171287537,0.6181785975479417,0.9951708912849426,0.9923961460590363,0.37853347933399906,0.0011466741561889648
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000019.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1536,1024,9,0.9989659786224365,0.9615719848208957,0.9999868869781494,0.9999368786811829,0.057871486521215994,0.0010209083557128906
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000020.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.9952804446220398,0.9970673455132378,0.9998700618743896,0.9998618364334106,0.0038973543729904285,0.0045896172523498535
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000021.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.9995998740196228,0.9938428335719638,0.9999756813049316,0.9997246563434601,0.010272294186893367,0.0003758072853088379
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000022.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1402,1122,9,0.8476566076278687,0.7926645907961453,0.9999927282333374,0.9999895095825195,0.3312243186840169,0.15233612060546875
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000023.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.755226194858551,0.8615891072485182,0.998830258846283,0.9986623227596283,0.2158594753604082,0.24360406398773193
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000024.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,656,580,9,0.9792330861091614,0.9888486464818319,0.9984183311462402,0.9979411959648132,0.007817935450491163,0.019185245037078857
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000025.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,1024,9,0.9999202489852905,0.9998288750648499,0.9999997615814209,0.9999995827674866,0.00016388342093633104,7.95125961303711e-05
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000026.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1375,749,9,0.9914290308952332,0.6777964149498277,0.9999638795852661,0.9998482763767242,0.38722301935058306,0.008534848690032959
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000027.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,1024,9,0.9999936819076538,0.9999712970521715,1.0,1.0,4.859353620725932e-05,6.318092346191406e-06
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000028.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,768,768,9,0.9223297238349915,0.9711995919545492,0.9965793490409851,0.99453204870224,0.02533597470768027,0.07424962520599365
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000029.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,559,9,0.9999998807907104,0.9999167654249403,1.0,1.0,0.00018483446178820407,1.1920928955078125e-07
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000030.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,1024,9,0.9997935891151428,0.99959178103341,0.9999984502792358,0.999996542930603,0.0010959133600895407,0.00020486116409301758
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000031.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1122,1402,9,1.0,0.9370063112841712,0.9999992847442627,0.9999992847442627,0.16146427296184307,-7.152557373046875e-07
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000032.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,1024,1024,9,0.9968063831329346,0.7600726808110873,0.9903123378753662,0.9900586009025574,0.31124166695232874,-0.006494045257568359
7,<repo>\data\raw\ishu_ai_vs_real_2026_seed7_test_robustness_variants\blur1\ishu_ai_vs_real_2026_seed7_test\AI-images\000033.jpg,AI-images,1,dinov2_vits14,True,logistic_regression,224,512,2816,1536,9,0.8804609775543213,0.8142087440937757,0.9999998807907104,0.9999982714653015,0.35237230804048203,0.11953890323638916
